iso_code,region_group,income_group,country,survey,year,level,grade,category,Sex,Location,Wealth,Region,Ethnicity,Religion,Language,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,preschool_3_m,preschool_3_no,preschool_1ybefore_m,preschool_1ybefore_no,edu0_prim_m,edu0_prim_no,trans_prim_m,trans_prim_no,trans_lowsec_m,trans_lowsec_no,comp_higher_2yrs_2529_m,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_m,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_m,comp_higher_4yrs_3034_no,attend_higher_1822_m,attend_higher_1822_no,overage2plus_m,overage2plus_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,mlevel1_sd,rlevel1_m,rlevel1_no,rlevel1_sd,slevel1_m,slevel1_no,slevel1_sd,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_m,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_m,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_m,slevel4_no
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Brahmin,,,0.8835,0.5788,0.0539,0.8476,0.6046,0.0997,0.0763,0.1246,0.147,0.0568,0.0766,0.2221,140,89,65,260,260,222,111,111,111,260,173,157,,0,,0,,0,,14,0.7156,42,0.0804,234,0.0067,234,0.0586,246,0.119,183,,0,0.9638,603,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Chhetri,,,0.5978,0.3986,0.0669,0.5656,0.3574,0.0387,0.0441,0.4453,0.4932,0.1387,0.1894,0.4588,186,136,116,424,424,360,194,194,194,379,219,210,,0,,0,,0,,14,0.5976,33,0.0324,358,0.0086,358,0,337,0.0234,352,,0,0.7686,775,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Damai,,,,,,0.2029,0.0571,0,,,,0.1788,0.2778,0.7754,24,22,17,58,58,37,20,20,20,63,39,31,,0,,0,,0,,2,,1,0,42,0,42,,29,0,66,,0,0.4955,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Kami,,,0.3872,0.1989,0,0.3772,0.1273,0,0.0262,0.519,0.6562,0.1369,0.3337,0.6447,53,48,41,151,151,125,71,71,71,156,80,71,,0,,0,,0,,9,,13,0,115,0,115,0.0174,100,0.0108,137,,0,0.6173,254,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Limbu,,,0.6864,0.2255,0.0528,0.7053,0.3034,0.0236,0.0566,0.194,0.348,0.1442,0.104,0.3387,38,39,32,101,101,67,43,43,43,63,41,52,,0,,0,,0,,1,,5,,20,,20,,22,,20,,0,0.9443,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Magar,,,0.6217,0.2873,0,0.556,0.3079,0,0.0397,0.3918,0.5237,0.1068,0.2135,0.4768,60,53,31,126,126,102,50,50,50,146,68,79,,0,,0,,0,,7,,10,0,122,0,122,0,114,0,86,,1,0.8269,195,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Muslim,,,0.1971,0.1128,,0.1682,0.0803,0,0.0114,0.8162,0.874,0.6345,0.6561,0.8644,37,35,23,102,102,61,40,40,40,74,38,53,,0,,0,,0,,2,,4,0,64,0,64,0,79,0.0271,76,,0,0.3898,164,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Newar,,,0.6083,0.5112,0.1776,0.6848,0.4687,0.1108,0.059,0.2907,0.3965,0.085,0.1166,0.4372,44,44,33,124,124,98,55,55,55,91,43,58,,0,,0,,0,,2,,13,0.1687,110,0.0825,110,0.04,83,0.0607,84,,0,0.8829,248,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Other,,,0.4494,0.3318,0.1132,0.4416,0.2923,0.0566,0.0394,0.5071,0.5496,0.3461,0.4413,0.6439,70,54,42,166,166,169,74,74,74,193,90,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Rai,,,,,,0.5851,0.3131,0.0289,,,,0.084,0.0398,0.5703,26,26,18,61,61,42,26,26,26,62,35,37,,0,,0,,0,,4,,3,0.1332,37,0,37,0,46,0,30,,1,0.81,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
